Image,ObjectID,Area,Perimeter,CentroidX,CentroidY,AngleRad,Eccentricity,Circularity,Solidity,BBoxAspect,CornerCount,ConcaveCount,Label_Euclid,Label_Mahalanobis
38.png,4,10071,414,155.0000,336.1803,1.570796,0.499096,0.738383,1438.714286,1.0000,1,0,flecha,flecha
38.png,5,17751,763,938.5277,484.3324,1.589092,0.317088,0.383163,2535.857143,1.0000,1,0,estrella,estrella
38.png,6,53851,740,515.5571,502.5625,0.880867,0.011966,1.235777,7693.000000,1.0000,1,0,circulo,circulo
39.png,1,40401,800,306.0000,201.0000,0.000000,0.000000,0.793272,1.010025,1.0000,1,0,estrella,estrella
39.png,2,15843,400,754.5453,189.5404,-2.666719,0.016919,1.244306,2263.285714,1.0000,1,0,circulo,circulo
39.png,3,15477,516,573.0000,301.8444,1.570796,0.499406,0.730461,2211.000000,1.0000,1,0,flecha,flecha
39.png,4,18393,775,865.5213,454.0078,1.588734,0.328150,0.384821,2627.571429,1.0000,1,0,estrella,estrella
39.png,5,7431,484,275.0289,420.9308,1.564419,0.321337,0.398627,1061.571429,1.0000,1,0,flecha,estrella
4.png,1,35422,750,243.0000,164.5000,0.000000,0.447129,0.791335,1.010729,1.1180,1,0,cuadrado,cuadrado
4.png,2,34028,734,718.5000,249.0000,0.000000,0.270340,0.793696,1.010933,1.0387,1,0,estrella,flecha
4.png,3,17625,528,883.0000,440.0000,0.000000,0.462693,0.794458,1.015265,1.1280,1,0,cuadrado,cuadrado
4.png,4,14606,482,376.5000,450.0000,0.000000,0.581675,0.790036,1.016848,1.2294,1,0,cuadrado,cuadrado
40.png,1,93636,1220,274.5000,192.5000,0.000000,0.000000,0.790557,1.006568,1.0000,1,0,estrella,flecha
40.png,2,11877,345,565.0312,120.0200,1.801079,0.025222,1.253945,1696.714286,1.0000,1,0,circulo,circulo
40.png,3,34311,774,862.0000,356.1742,1.570796,0.499729,0.719716,4901.571429,1.0000,1,0,estrella,flecha
40.png,4,13049,653,541.5086,373.3892,1.596409,0.327706,0.384557,1864.142857,1.0000,1,0,flecha,estrella
40.png,5,19959,811,318.5318,501.7471,1.584547,0.328735,0.381335,2851.285714,1.0000,1,0,estrella,estrella
41.png,1,110389,1060,320.0194,209.0208,-3.062809,0.008279,1.234593,15769.857143,1.0000,1,0,circulo,estrella
41.png,2,16273,524,643.7759,168.0000,0.000000,0.664599,0.744758,2324.714286,1.0000,1,0,flecha,flecha
41.png,3,10732,328,884.0402,164.0325,1.313057,0.010177,1.253553,1533.142857,1.0000,1,0,circulo,circulo
41.png,4,41251,846,962.5466,449.0117,1.568450,0.677586,0.724275,5893.000000,1.0000,1,0,estrella,flecha
41.png,5,34969,744,545.0000,486.0000,0.000000,0.000000,0.793866,1.010782,1.0000,1,0,circulo,estrella
42.png,1,32774,1051,290.5294,219.0718,1.582760,0.318139,0.372850,4682.000000,1.0000,1,0,estrella,estrella
42.png,2,48250,700,651.5384,182.5385,1.163505,0.011174,1.237403,6892.857143,1.0000,1,0,circulo,circulo
42.png,3,61717,1461,898.5210,409.6417,1.581622,0.317141,0.363341,8816.714286,1.0000,1,0,estrella,estrella
42.png,4,27011,680,431.6126,468.0000,0.000000,0.671838,0.734062,3858.714286,1.0000,1,0,flecha,flecha
43.png,1,66564,1028,519.5000,178.5000,0.000000,0.000000,0.791522,1.007797,1.0000,1,0,estrella,flecha
43.png,2,24026,641,913.5774,194.2964,1.575503,0.670562,0.734810,3432.285714,1.0000,1,0,flecha,flecha
43.png,3,19589,578,167.7690,183.0000,0.000000,0.669227,0.736829,2798.428571,1.0000,1,0,flecha,flecha
43.png,4,16056,522,263.5052,456.5473,-3.137613,0.665950,0.740468,2293.714286,1.0000,1,0,flecha,flecha
43.png,5,34282,588,707.0274,487.0281,-2.388498,0.011606,1.246010,4897.428571,1.0000,1,0,circulo,circulo
44.png,1,10071,414,860.0000,150.1803,1.570796,0.499096,0.738383,1438.714286,1.0000,1,0,flecha,flecha
44.png,2,32761,720,272.0000,175.0000,0.000000,0.000000,0.794149,1.011142,1.0000,1,0,circulo,estrella
44.png,3,23068,875,581.5325,337.0157,1.583523,0.321231,0.378620,3295.428571,1.0000,1,0,estrella,estrella
44.png,4,20599,456,1051.5413,298.5378,1.013146,0.024504,1.244877,2942.714286,1.0000,1,0,circulo,circulo
44.png,5,33394,758,219.5304,444.2433,3.134189,0.674381,0.730365,4770.571429,1.0000,1,0,flecha,flecha
44.png,6,9843,317,891.5174,438.5641,1.564022,0.261190,1.230889,1406.142857,1.0000,1,0,circulo,circulo
45.png,1,10071,414,143.0000,141.1803,1.570796,0.499096,0.738383,1438.714286,1.0000,1,0,flecha,flecha
45.png,2,16273,524,643.7759,168.0000,0.000000,0.664599,0.744758,2324.714286,1.0000,1,0,flecha,flecha
45.png,3,10732,328,884.0402,164.0325,1.313057,0.010177,1.253553,1533.142857,1.0000,1,0,circulo,circulo
45.png,4,10357,420,365.0000,259.5135,1.570796,0.499120,0.737811,1479.571429,1.0000,1,0,flecha,flecha
45.png,5,41251,846,962.5466,449.0117,1.568450,0.677586,0.724275,5893.000000,1.0000,1,0,estrella,flecha
45.png,6,42025,816,615.0000,441.0000,0.000000,0.000000,0.793117,1.009828,1.0000,1,0,estrella,estrella
45.png,7,34969,744,245.0000,510.0000,0.000000,0.000000,0.793866,1.010782,1.0000,1,0,circulo,estrella
46.png,1,20893,596,670.0000,134.2224,1.570796,0.668398,0.739125,2984.714286,1.0000,1,0,flecha,flecha
46.png,2,10357,420,963.0000,130.5135,1.570796,0.499120,0.737811,1479.571429,1.0000,1,0,flecha,flecha
46.png,3,21868,471,437.0285,221.0450,1.224316,0.023809,1.238731,3124.000000,1.0000,1,0,circulo,circulo
46.png,4,10071,414,155.0000,336.1803,1.570796,0.499096,0.738383,1438.714286,1.0000,1,0,flecha,flecha
46.png,5,14641,480,741.0000,321.0000,0.000000,0.000000,0.798543,1.016736,1.0000,1,0,circulo,estrella
46.png,6,17751,763,938.5277,484.3324,1.589092,0.317088,0.383163,2535.857143,1.0000,1,0,estrella,estrella
46.png,7,53851,740,515.5571,502.5625,0.880867,0.011966,1.235777,7693.000000,1.0000,1,0,circulo,circulo
47.png,1,10357,420,963.0000,130.5135,1.570796,0.499120,0.737811,1479.571429,1.0000,1,0,flecha,flecha
47.png,2,48250,700,411.5384,173.5385,1.163505,0.011174,1.237403,6892.857143,1.0000,1,0,circulo,circulo
47.png,3,14641,480,811.0000,291.0000,0.000000,0.000000,0.798543,1.016736,1.0000,1,0,circulo,estrella
47.png,4,10071,414,155.0000,336.1803,1.570796,0.499096,0.738383,1438.714286,1.0000,1,0,flecha,flecha
47.png,5,22466,863,509.5318,454.5507,1.585273,0.323144,0.379065,3209.428571,1.0000,1,0,estrella,estrella
47.png,6,17751,763,938.5277,484.3324,1.589092,0.317088,0.383163,2535.857143,1.0000,1,0,estrella,estrella
48.png,1,10071,414,143.0000,141.1803,1.570796,0.499096,0.738383,1438.714286,1.0000,1,0,flecha,flecha
48.png,2,16273,524,643.7759,168.0000,0.000000,0.664599,0.744758,2324.714286,1.0000,1,0,flecha,flecha
48.png,3,10732,328,884.0402,164.0325,1.313057,0.010177,1.253553,1533.142857,1.0000,1,0,circulo,circulo
48.png,4,10357,420,365.0000,259.5135,1.570796,0.499120,0.737811,1479.571429,1.0000,1,0,flecha,flecha
48.png,5,27248,958,581.0315,464.0866,1.568769,0.321256,0.373090,3892.571429,1.0000,1,0,estrella,estrella
48.png,6,41251,846,962.5466,449.0117,1.568450,0.677586,0.724275,5893.000000,1.0000,1,0,estrella,flecha
48.png,7,21941,855,239.5206,493.8326,1.588761,0.317112,0.377167,3134.428571,1.0000,1,0,estrella,estrella
49.png,1,20893,596,670.0000,134.2224,1.570796,0.668398,0.739125,2984.714286,1.0000,1,0,flecha,flecha
49.png,2,10357,420,963.0000,130.5135,1.570796,0.499120,0.737811,1479.571429,1.0000,1,0,flecha,flecha
49.png,3,29578,714,417.5475,352.8420,1.567945,0.674090,0.729092,4225.428571,1.0000,1,0,flecha,flecha
49.png,4,10071,414,155.0000,336.1803,1.570796,0.499096,0.738383,1438.714286,1.0000,1,0,flecha,flecha
49.png,5,14641,480,741.0000,321.0000,0.000000,0.000000,0.798543,1.016736,1.0000,1,0,circulo,estrella
49.png,6,17751,763,938.5277,484.3324,1.589092,0.317088,0.383163,2535.857143,1.0000,1,0,estrella,estrella
5.png,1,35422,750,243.0000,164.5000,0.000000,0.447129,0.791335,1.010729,1.1180,1,0,cuadrado,cuadrado
5.png,2,34028,734,718.5000,249.0000,0.000000,0.270340,0.793696,1.010933,1.0387,1,0,estrella,flecha
5.png,3,17625,528,883.0000,440.0000,0.000000,0.462693,0.794458,1.015265,1.1280,1,0,cuadrado,cuadrado
5.png,4,14606,482,376.5000,450.0000,0.000000,0.581675,0.790036,1.016848,1.2294,1,0,cuadrado,cuadrado
5.png,5,16440,510,150.0000,530.5000,0.000000,0.482483,0.794276,1.015818,1.1417,1,0,cuadrado,cuadrado
50.png,1,69696,1052,437.5000,162.5000,0.000000,0.000000,0.791382,1.007619,1.0000,1,0,estrella,flecha
50.png,2,10357,420,963.0000,130.5135,1.570796,0.499120,0.737811,1479.571429,1.0000,1,0,flecha,flecha
50.png,3,44944,844,151.5000,314.5000,0.000000,0.000000,0.792860,1.009501,1.0000,1,0,estrella,estrella
50.png,4,14641,480,811.0000,291.0000,0.000000,0.000000,0.798543,1.016736,1.0000,1,0,circulo,estrella
50.png,5,22466,863,509.5318,454.5507,1.585273,0.323144,0.379065,3209.428571,1.0000,1,0,estrella,estrella
50.png,6,17751,763,938.5277,484.3324,1.589092,0.317088,0.383163,2535.857143,1.0000,1,0,estrella,estrella
6.png,1,45173,676,644.0399,304.0443,3.138539,0.221231,1.242211,6453.285714,1.0000,1,0,circulo,circulo
7.png,1,45173,676,644.0399,304.0443,3.138539,0.221231,1.242211,6453.285714,1.0000,1,0,circulo,circulo
7.png,2,11027,334,284.5593,399.0314,1.591077,0.131771,1.242151,1575.285714,1.0000,1,0,circulo,circulo
8.png,1,20552,456,997.0474,149.0440,3.140344,0.397465,1.242036,2936.000000,1.0000,1,0,circulo,circulo
8.png,2,45173,676,644.0399,304.0443,3.138539,0.221231,1.242211,6453.285714,1.0000,1,0,circulo,circulo
8.png,3,11027,334,284.5593,399.0314,1.591077,0.131771,1.242151,1575.285714,1.0000,1,0,circulo,circulo
9.png,1,18862,436,303.5361,142.5420,3.133159,0.161679,1.246880,2694.571429,1.0000,1,0,circulo,circulo
9.png,2,20552,456,997.0474,149.0440,3.140344,0.397465,1.242036,2936.000000,1.0000,1,0,circulo,circulo
9.png,3,45173,676,644.0399,304.0443,3.138539,0.221231,1.242211,6453.285714,1.0000,1,0,circulo,circulo
9.png,4,11027,334,284.5593,399.0314,1.591077,0.131771,1.242151,1575.285714,1.0000,1,0,circulo,circulo
